banana	nourishment
apple	food
sock	clothing
red	color
ring	jewelry
bus	transportation
utensil	fork
pot	vessel
tool	chisel
skirt	garment
water	beverage
hammer	tool
clothing	sock
ash	tree
pet	dog
violin	instrument
person	girl
salt	preservative
grape	fruit
mustang	car
boot	footwear
clarinet	instrument
brown	hair
tree	home
chair	furniture
chair	furniture
van	automobile
food	apple
porpoise	mammal
mouse	rodent
currency	dollar
pig	animal
carabao	animal
poodle	dog
animal	cat
university	school
shirt	garment
ant	insect
astilbe	bush
refrigerator	appliance
gasoline	fuel
shirt	clothing
shirt	clothing
screwdriver	tool
abstract	art
plate	dish
girl	person
fridge	appliance
oil	lubricant
spoon	utensil
