website	internet
novel	book
water	beverage
apple	fruit
sculpture	art
daisy	flower
dollar	currency
desk	furniture
flower	daisy
star	space
chair	furniture
drama	film
father	family
sheet	bedding
book	literature
cardinal	bird
piano	instrument
trout	fish
lamp	light
mineral	mica
beef	meat
family	father
jug	container
hammer	tool
couch	furniture
refrigerator	appliance
milk	drink
raccoon	animal
green	color
phone	cordless
librarian	worker
basil	herb
gorilla	mammal
mica	mineral
boot	shoe
cordless	phone
laptop	computer
appliance	refrigerator
couch	seat
cat	pet
bowl	dish
dinner	meal
sodas	beverages
flowers	landscape
crows	birds
blue	colors
spoon	silverware
cars	fords
fords	cars
shirts	clothing
chips	snacks
sombreros	hats
blouses	clothes
forks	cutlery
plates	china
dogs	animals
makeup	eyeshadow
flute	instrument
bedding	sheets
chair	seating
cats	animals
dogs	pets
animals	dogs
salmon	fish
pants	clothes
sedan	cars
books	libraries
tea	beverages
chairs	furniture
dime	money
pennies	coins
birds	crows
forks	utensils
sheets	bedding
collies	dogs
apples	fruit
cashews	nuts
dahlias	flowers
rings	jewelry
shirts	clothes
dresses	clothing
cows	animals
stamps	hobby
eyeshadow	makeup
sonnets	poems
