pea	pease
hake	hakes
professional	professionals
undersecretary	undersecretaries
debater	debaters
nativist	nativists
heir	heirs
darter	darters
coyote	coyotes
beech	beeches
gatecrasher	gatecrashers
bureaucrat	bureaucrats
masseur	masseurs
draper	drapers
ayatollah	ayatollahs
firefly	fireflies
abettor	abettors
front-runner	front-runners
hunter	hunters
medium	mediums
turkey	turkeys
monarch	monarchs
newcomer	newcomers
bluebird	bluebirds
commentator	commentators
ichthyologist	ichthyologists
middleweight	middleweights
fundamentalist	fundamentalists
bondholder	bondholders
brigadier	brigadiers
proselyte	proselytes
canvasser	canvassers
savior	saviors
silverback	silverbacks
oviraptorid	oviraptorids
photographer	photographers
robber	robbers
sentimentalist	sentimentalists
kob	kobs
believer	believers
loggerhead	loggerheads
skateboarder	skateboarders
diamondback	diamondbacks
porcupine	porcupines
fisherman	fishermens
ward	wards
toddler	toddlers
bollworm	bollworms
suspect	suspects
automaton	automatons
stylite	stylites
ganger	gangers
lamprey	lampreys
inductee	inductees
stoat	stoats
clansman	clansmen
cockerel	cockerels
wasp	wasps
follower	followers
kingpin	kingpins
shiner	shiners
courser	coursers
kookaburra	kookaburras
sir	sirs
papyrus	papyri
bryozoan	bryozoans
crustacean	crustaceans
dressmaker	dressmakers
pinto	pintos
skipper	skippers
bookworm	bookworms
commodore	commodores
caiman	caimans
lycaenid	lycaenids
annihilator	annihilators
combatant	combatants
reveler	revelers
hater	haters
phrenologist	phrenologists
bibliophile	bibliophiles
mulatto	mulattoes
relict	relicts
mafioso	mafiosos
coneflower	coneflowers
anaconda	anacondas
weatherman	weathermen
galago	galagos
lily	lilys
muralist	muralists
underwing	underwings
hummer	hummers
polygamist	polygamists
aspen	aspens
parasite	parasites
heron	herons
blackberry	blackberries
builder	builders
cranberry	cranberries
puffball	puffballs
meerkat	meerkats
leader	leaders
renter	renters
eel	eels
brother-in-law	brothers-in-law
ordinary	ordinaries
vulgarian	vulgarians
investor	investors
sangoma	sangomas
leopard	leopards
rectifier	rectifiers
referral	referrals
upstart	upstarts
bondsman	bondsmen
postdoc	postdocs
landgrave	landgraves
colleague	colleagues
dairyman	dairymen
mastiff	mastiffs
itinerant	itinerants
ham	hams
marten	martens
dieter	dieters
mallard	mallards
moth	moths
authoritarian	authoritarians
hoarder	hoarders
slug	slugs
violet	violets
athlete	athletes
pony	ponys
tragedian	tragedians
narcissist	narcissists
starlet	starlets
hellhound	hellhounds
pickpocket	pickpockets
conservator	conservators
militarist	militarists
sapling	saplings
fly	flies
inventor	inventors
familiar	familiars
